date,Model_name,Batch_size,Resolution,No. training,No. testing,Training Epoch,More,box_loss,obj_loss,cls_loss,precision,recall,mAP_0.5,mAP_0.5:0.95,No. star,No. BH,Time,BH_lower_size,BH_upper_size,init_size,wavelength,D,F,angular_pixel_size_input_image,CCD_pixel_size,CCD_pixel_count,noise_radius
2024-03-03_02-29-33,yolov5,16,1024,800,200,300,,0.011198,0.016491,0.00047206,0.99788,0.96788,0.97677,0.75908,10,1,3407.491635,30,50,3072,1.00E-07,6.5,131.4,0.00039,2.48E-07,3072,3
2024-03-03_03-26-21,yolov5,16,1024,800,200,300,,0.014718,0.0202,0.00052839,0.99878,0.96525,0.97473,0.70409,10,1,2686.415742,30,50,3072,1.00E-07,6.5,131.4,0.00041,2.61E-07,3072,3
2024-03-03_04-11-07,yolov5,16,1024,800,200,300,,0.011454,0.014619,0.00048176,0.99841,0.9645,0.97752,0.76074,10,1,3439.811336,30,50,3072,1.00E-07,6.5,131.4,0.00043,2.74E-07,3072,3
2024-03-03_05-08-27,yolov5,16,1024,800,200,300,,0.010318,0.014423,0.00067945,0.99093,0.97307,0.98119,0.77572,10,1,3011.467882,30,50,3072,1.00E-07,6.5,131.4,0.00045,2.87E-07,3072,3
2024-03-03_05-58-39,yolov5,16,1024,800,200,300,,0.017391,0.019055,0.0007325,0.99744,0.96557,0.97824,0.68037,10,1,3276.028715,30,50,3072,1.00E-07,6.5,131.4,0.00047,2.99E-07,3072,3
2024-03-03_06-53-15,yolov5,16,1024,800,200,300,,0.014283,0.017789,0.00086506,0.99504,0.96592,0.97693,0.692,10,1,3415.837906,30,50,3072,1.00E-07,6.5,131.4,0.00049,3.12E-07,3072,3
2024-03-03_07-50-11,yolov5,16,1024,800,200,300,,0.011613,0.013598,0.00069171,0.99818,0.97703,0.98258,0.77026,10,1,2668.673631,30,50,3072,1.00E-07,6.5,131.4,0.00051,3.25E-07,3072,3
2024-03-03_08-34-40,yolov5,16,1024,800,200,300,,0.012279,0.016188,0.00054017,0.99864,0.96925,0.97913,0.75582,10,1,2658.903576,30,50,3072,1.00E-07,6.5,131.4,0.00053,3.38E-07,3072,3
2024-03-03_09-18-58,yolov5,16,1024,800,200,300,,0.014837,0.020289,0.00057926,0.99904,0.9692,0.98054,0.70798,10,1,2168.63679,30,50,3072,1.00E-07,6.5,131.4,0.00055,3.50E-07,3072,3
2024-03-03_09-55-07,yolov5,16,1024,800,200,300,,0.015115,0.020509,0.00055418,0.99898,0.96641,0.97772,0.70696,10,1,2203.340568,30,50,3072,1.00E-07,6.5,131.4,0.00057,3.63E-07,3072,3
2024-03-03_10-33-12,yolov5,16,1024,800,200,300,,0.013083,0.018939,0.00063353,0.99565,0.9712,0.98039,0.72996,10,1,2021.668074,30,50,3072,1.00E-07,6.5,131.4,0.00061,3.89E-07,3072,3
